Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup,SlopGroup,Include
2289600.0,s,0.007112135,0.000444067,0.000444067,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,i_host,slop_other,1
4279200.0,s,0.006426877,0.000777507,0.000777507,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,i_host,slop_other,1
4279800.0,s,0.006606934,0.000905292,0.000905292,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,i_host,slop_other,1
6252000.0,s,0.006546362,0.000738718,0.000738718,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,i_host,slop_other,1
6252000.0,s,0.006606934,0.000745553,0.000745553,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,i_host,slop_other,1
793.2,s,0.349945167,0.079549331,0.079549331,mJy,Spectral Flux,1550000000000000.0,,,Hz,uvw2,uvw2_offset,,slop_uvot,1
670.2,s,0.401790811,0.108025846,0.108025846,mJy,Spectral Flux,1330000000000000.0,,,Hz,uvm2,uvm2_offset,,slop_uvot,1
694.8,s,0.711213514,0.114178227,0.114178227,mJy,Spectral Flux,1150000000000000.0,,,Hz,uvw1,uvw1_offset,,slop_uvot,1
709.2,s,0.539510623,0.130249963,0.130249963,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
718.8,s,0.483058802,0.092217906,0.092217906,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
729.0,s,0.436515832,0.126059873,0.126059873,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
309.0,s,1.445439771,0.163109188,0.163109188,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
319.2,s,1.106623784,0.14279476,0.14279476,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
328.8,s,1.148153621,0.148153621,0.148153621,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
339.0,s,1.169499391,0.141483093,0.141483093,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
349.2,s,1.037528416,0.133878942,0.133878942,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
358.8,s,1.047128548,0.135117709,0.135117709,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
369.0,s,0.73790423,0.118463155,0.118463155,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
379.2,s,0.946237161,0.12965479,0.12965479,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
388.8,s,0.937562007,0.128466108,0.128466108,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
399.0,s,0.72443596,0.116300959,0.116300959,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
409.2,s,1.018591388,0.131435376,0.131435376,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
418.8,s,0.648634434,0.109123811,0.109123811,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
429.0,s,0.717794291,0.115234705,0.115234705,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
439.2,s,0.809095899,0.123607673,0.123607673,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
448.8,s,0.549540874,0.100795484,0.100795484,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
459.0,s,0.73790423,0.112731537,0.112731537,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
469.2,s,0.772680585,0.118044411,0.118044411,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
478.8,s,0.87096359,0.126231616,0.126231616,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
489.0,s,0.575439937,0.105545829,0.105545829,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
499.2,s,0.625172693,0.105176696,0.105176696,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
508.8,s,0.672976656,0.108039681,0.108039681,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
519.0,s,0.809095899,0.117264928,0.117264928,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
529.2,s,0.440554864,0.090609696,0.090609696,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
538.8,s,0.704693069,0.113131435,0.113131435,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
549.0,s,0.666806769,0.112181056,0.112181056,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
570.6,s,0.42854852,0.051844721,0.051844721,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,1
743.4,s,0.376703799,0.045572678,0.045572678,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,1
644.4,s,0.642687717,0.103177095,0.103177095,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,1
818.4,s,0.483058802,0.095801157,0.095801157,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,1
91.1323,s,1.61e-08,2.18e-09,2.18e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
91.7687,s,1.38e-08,1.87e-09,1.87e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
92.5679,s,1.53e-08,2.15e-09,2.15e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
93.2539,s,1.38e-08,1.94e-09,1.94e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
94.0568,s,1.2e-08,1.74e-09,1.74e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
94.9207,s,1.22e-08,1.76e-09,1.76e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
95.6821,s,1.6e-08,2.32e-09,2.32e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
96.4738,s,1.04e-08,1.57e-09,1.57e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
97.3296,s,1.1e-08,1.66e-09,1.66e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
98.3232,s,1.29e-08,1.93e-09,1.93e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
99.1161,s,1.22e-08,1.96e-09,1.96e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
99.9211,s,1.32e-08,2.24e-09,2.24e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
100.8466,s,1.11e-08,1.99e-09,1.99e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
101.774,s,8.07e-09,1.45e-09,1.45e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
102.907,s,6.88e-09,1.27e-09,1.27e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
104.004,s,9.98e-09,1.88e-09,1.88e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
104.8378,s,9.18e-09,1.73e-09,1.73e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
105.7515,s,8.9e-09,1.68e-09,1.68e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
106.6857,s,9.98e-09,1.87e-09,1.87e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
107.5629,s,8.46e-09,1.58e-09,1.58e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
108.618,s,8.07e-09,1.52e-09,1.52e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
109.655,s,7.52e-09,1.4e-09,1.4e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
110.6966,s,8.79e-09,1.58e-09,1.58e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
111.558,s,9.75e-09,1.7e-09,1.7e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
112.4645,s,7.37e-09,1.29e-09,1.29e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
113.3012,s,8.5e-09,1.43e-09,1.43e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
114.0149,s,6.32e-09,1.19e-09,1.19e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
114.8381,s,7.22e-09,1.22e-09,1.22e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
115.7473,s,5.44e-09,1.02e-09,1.02e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
116.6534,s,7.47e-09,1.24e-09,1.24e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
117.5449,s,6.87e-09,1.15e-09,1.15e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
118.5586,s,4.22e-09,7.66e-10,7.66e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
119.425,s,5.48e-09,8.81e-10,8.81e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
120.437,s,5.44e-09,8.62e-10,8.62e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
121.45,s,5.22e-09,8.13e-10,8.13e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
122.4958,s,5.75e-09,8.97e-10,8.97e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
123.3394,s,5.01e-09,8.89e-10,8.89e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
124.0199,s,3.86e-09,6.94e-10,6.94e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
124.8863,s,5.93e-09,9.39e-10,9.39e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
125.6956,s,3.91e-09,7.04e-10,7.04e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
126.4948,s,4.49e-09,8.04e-10,8.04e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
127.4071,s,3.6e-09,6.55e-10,6.55e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
128.1357,s,5.15e-09,8.61e-10,8.61e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
128.8765,s,6.29e-09,9.36e-10,9.36e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
129.6786,s,4.79e-09,8.29e-10,8.29e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
130.3514,s,4.6e-09,8.01e-10,8.01e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
131.0768,s,4.85e-09,8.33e-10,8.33e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
131.8802,s,3.77e-09,6.62e-10,6.62e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
132.6178,s,4.78e-09,8.28e-10,8.28e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
133.2962,s,4.43e-09,7.66e-10,7.66e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
134.2085,s,3.38e-09,5.96e-10,5.96e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
135.1271,s,5.41e-09,8.15e-10,8.15e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
135.9693,s,5.23e-09,8.36e-10,8.36e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
136.7179,s,5.12e-09,9.05e-10,9.05e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
137.3547,s,4.25e-09,7.51e-10,7.51e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
