# Stellar evolution data converted from CSV
# Age(years)  Mdot(Msun/yr)  vwind(km/s)  Twind(K)
 3.13000e+06 -8.15956e+00   1050.117    46214.5
 3.16000e+06 -8.15415e+00   1046.920    46133.4
 3.18000e+06 -8.14862e+00   1043.638    46049.3
 3.20000e+06 -8.14316e+00   1040.384    45965.1
 3.23000e+06 -8.13760e+00   1037.033    45877.8
 3.25000e+06 -8.13197e+00   1033.587    45786.8
 3.27000e+06 -8.12641e+00   1030.155    45695.8
 3.30000e+06 -8.12076e+00   1026.633    45600.7
 3.32000e+06 -8.11520e+00   1023.100    45504.5
 3.34000e+06 -8.10957e+00   1019.566    45408.6
 3.37000e+06 -8.10387e+00   1015.930    45308.9
 3.39000e+06 -8.09826e+00   1012.304    45208.4
 3.41000e+06 -8.09260e+00   1008.591    45104.3
 3.44000e+06 -8.08678e+00   1004.869    45001.5
 3.46000e+06 -8.08102e+00   1001.010    44891.6
 3.48000e+06 -8.07522e+00    997.042    44776.8
 3.51000e+06 -8.06953e+00    993.098    44662.2
 3.53000e+06 -8.06367e+00    989.013    44542.4
 3.54000e+06 -8.06071e+00    986.926    44481.3
 3.55000e+06 -8.05766e+00    984.765    44417.2
 3.57000e+06 -8.05451e+00    982.514    44350.5
 3.58000e+06 -8.05153e+00    980.377    44286.4
 3.59000e+06 -8.04847e+00    978.140    44219.6
 3.60000e+06 -8.04542e+00    975.925    44152.8
 3.62000e+06 -8.04230e+00    973.616    44083.1
 3.63000e+06 -8.03933e+00    971.415    44016.2
 3.64000e+06 -8.03627e+00    969.138    43946.6
 3.65000e+06 -8.03316e+00    966.766    43874.0
 3.67000e+06 -8.03020e+00    964.527    43804.9
 3.68000e+06 -8.02715e+00    962.174    43732.3
 3.69000e+06 -8.02402e+00    959.749    43657.0
 3.70000e+06 -8.02105e+00    957.432    43584.7
 3.72000e+06 -8.01792e+00    954.944    43506.6
 3.73000e+06 -8.01492e+00    952.553    43431.5
 3.74000e+06 -8.01186e+00    950.089    43353.4
 3.75000e+06 -8.00884e+00    947.633    43275.6
 3.76000e+06 -8.00590e+00    945.221    43198.5
 3.78000e+06 -8.00288e+00    942.717    43118.2
 3.79000e+06 -7.99983e+00    940.140    43035.4
 3.80000e+06 -7.99684e+00    937.587    42953.1
 3.81000e+06 -7.99389e+00    935.052    42870.8
 3.83000e+06 -7.99089e+00    932.446    42785.8
 3.84000e+06 -7.98794e+00    929.850    42700.9
 3.85000e+06 -7.98503e+00    927.281    42616.3
